word,start,end,-20ms_start,-20ms_end,-15ms_start,-15ms_end,-10ms_start,-10ms_end,-5ms_start,-5ms_end,0ms_start,0ms_end,5ms_start,5ms_end,10ms_start,10ms_end,15ms_start,15ms_end,20ms_start,20ms_end
a,9.12,9.28,9.04,9.28,9.04,9.28,9.04,9.28,9.04,9.28,9.12,9.28,9.12,9.28,9.12,9.36,9.12,9.36,9.12,9.36
strong,9.28,9.68,9.28,9.68,9.28,9.68,9.28,9.68,9.28,9.68,9.28,9.68,9.28,9.68,9.36,9.68,9.36,9.68,9.36,9.76
dash,9.68,10.16,9.68,10.08,9.68,10.08,9.68,10.08,9.68,10.08,9.68,10.16,9.68,10.16,9.68,10.16,9.68,10.16,9.76,10.16
of,10.16,10.32,10.08,10.32,10.08,10.32,10.08,10.32,10.08,10.32,10.16,10.32,10.16,10.32,10.16,10.32,10.16,10.32,10.16,10.32
waggish,10.32,10.96,10.32,10.96,10.32,10.96,10.32,10.96,10.32,10.96,10.32,10.96,10.32,10.96,10.32,10.96,10.32,10.96,10.32,10.96
good,10.96,11.12,10.96,11.12,10.96,11.12,10.96,11.12,10.96,11.12,10.96,11.12,10.96,11.12,10.96,11.12,10.96,11.04,10.96,11.04
humor,11.12,11.52,11.12,11.52,11.12,11.52,11.12,11.52,11.12,11.52,11.12,11.52,11.12,11.52,11.12,11.52,11.12,11.6,11.2,11.52
at,11.52,11.68,11.52,11.68,11.52,11.68,11.52,11.68,11.52,11.68,11.52,11.68,11.52,11.68,11.52,11.68,11.6,11.76,11.52,11.76
bottom.,11.68,12.16,11.68,12.16,11.68,12.16,11.68,12.16,11.68,12.16,11.68,12.16,11.68,12.16,11.68,12.16,11.76,12.16,11.76,12.16
He,12.48,12.64,12.4,12.64,12.48,12.64,12.48,12.64,12.48,12.64,12.48,12.64,12.48,12.64,12.48,12.72,12.48,12.72,12.48,12.72
had,12.64,12.88,12.64,12.88,12.64,12.88,12.64,12.88,12.64,12.88,12.64,12.88,12.64,12.88,12.72,12.96,12.72,12.96,12.72,12.96
three,12.88,13.2,12.88,13.2,12.88,13.2,12.88,13.2,12.88,13.2,12.88,13.2,12.88,13.2,12.96,13.2,12.96,13.2,12.96,13.2
or,13.2,13.44,13.2,13.44,13.2,13.44,13.2,13.44,13.2,13.44,13.2,13.44,13.2,13.44,13.2,13.44,13.2,13.44,13.2,13.44
four,13.44,13.68,13.44,13.68,13.44,13.68,13.44,13.68,13.44,13.68,13.44,13.68,13.44,13.68,13.44,13.68,13.44,13.68,13.44,13.68
boon,13.68,14.24,13.68,14.24,13.68,14.24,13.68,14.24,13.68,14.24,13.68,14.24,13.68,14.32,13.68,14.32,13.68,14.32,13.68,14.32
"companions,",14.24,14.88,14.24,14.88,14.24,14.88,14.24,14.88,14.24,14.88,14.24,14.88,14.32,14.88,14.32,14.88,14.32,14.96,14.32,14.96
who,15.2,15.36,15.12,15.36,15.12,15.36,15.12,15.36,15.2,15.36,15.2,15.36,15.2,15.44,15.2,15.44,15.2,15.44,15.2,15.44
regarded,15.36,15.92,15.36,15.84,15.36,15.92,15.36,15.92,15.36,15.92,15.36,15.92,15.44,15.92,15.44,15.92,15.44,15.92,15.44,15.92
him,15.92,16.08,15.84,16.08,15.92,16.08,15.92,16.08,15.92,16.08,15.92,16.08,15.92,16.08,15.92,16.08,15.92,16.08,15.92,16.08
as,16.08,16.24,16.08,16.24,16.08,16.24,16.08,16.24,16.08,16.24,16.08,16.24,16.08,16.24,16.08,16.32,16.08,16.32,16.08,16.32
their,16.24,16.48,16.24,16.48,16.24,16.48,16.24,16.48,16.24,16.48,16.24,16.48,16.24,16.48,16.32,16.56,16.32,16.56,16.32,16.56
"model,",16.48,16.96,16.48,16.96,16.48,16.96,16.48,16.96,16.48,16.96,16.48,16.96,16.48,16.96,16.56,16.96,16.56,16.96,16.56,16.96
and,17.28,17.44,17.2,17.44,17.2,17.44,17.28,17.44,17.28,17.44,17.28,17.44,17.28,17.44,17.28,17.44,17.28,17.44,17.28,17.44
at,17.44,17.6,17.44,17.52,17.44,17.6,17.44,17.6,17.44,17.6,17.44,17.6,17.44,17.6,17.44,17.6,17.44,17.6,17.44,17.6
the,17.6,17.68,17.52,17.68,17.6,17.68,17.6,17.68,17.6,17.68,17.6,17.68,17.6,17.68,17.6,17.68,17.6,17.68,17.6,17.68
head,17.68,17.92,17.68,17.92,17.68,17.92,17.68,17.92,17.68,17.92,17.68,17.92,17.68,17.92,17.68,17.92,17.68,17.92,17.68,17.92
of,17.92,18.08,17.92,18.08,17.92,18.08,17.92,18.08,17.92,18.08,17.92,18.08,17.92,18.08,17.92,18.08,17.92,18.08,17.92,18.08
whom,18.08,18.32,18.08,18.32,18.08,18.32,18.08,18.32,18.08,18.32,18.08,18.32,18.08,18.32,18.08,18.32,18.08,18.32,18.08,18.32
he,18.32,18.56,18.32,18.56,18.32,18.56,18.32,18.56,18.32,18.56,18.32,18.56,18.32,18.56,18.32,18.56,18.32,18.56,18.32,18.56
scoured,18.56,19.12,18.56,19.12,18.56,19.12,18.56,19.12,18.56,19.12,18.56,19.12,18.56,19.12,18.56,19.12,18.56,19.12,18.56,19.2
the,19.12,19.36,19.12,19.36,19.12,19.36,19.12,19.36,19.12,19.36,19.12,19.36,19.12,19.36,19.12,19.36,19.12,19.36,19.2,19.36
"country,",19.36,19.68,19.36,19.68,19.36,19.68,19.36,19.68,19.36,19.68,19.36,19.68,19.36,19.68,19.36,19.68,19.36,19.68,19.36,19.68
attending,20.0,20.56,20.0,20.56,20.0,20.56,20.0,20.56,20.0,20.56,20.0,20.56,20.0,20.56,20.0,20.56,20.0,20.56,20.0,20.64
every,20.56,20.88,20.56,20.88,20.56,20.88,20.56,20.88,20.56,20.88,20.56,20.88,20.56,20.88,20.56,20.88,20.56,20.88,20.64,20.88
scene,20.88,21.2,20.88,21.2,20.88,21.2,20.88,21.2,20.88,21.2,20.88,21.2,20.88,21.2,20.88,21.2,20.88,21.2,20.88,21.2
of,21.2,21.44,21.2,21.36,21.2,21.44,21.2,21.44,21.2,21.44,21.2,21.44,21.2,21.44,21.2,21.44,21.2,21.44,21.2,21.44
feud,21.44,21.84,21.36,21.84,21.44,21.84,21.44,21.84,21.44,21.84,21.44,21.84,21.44,21.84,21.44,21.84,21.44,21.84,21.44,21.84
or,21.84,22.0,21.84,22.0,21.84,22.0,21.84,22.0,21.84,22.0,21.84,22.0,21.84,22.0,21.84,22.0,21.84,22.0,21.84,22.0
merriment,22.0,22.64,22.0,22.64,22.0,22.64,22.0,22.64,22.0,22.64,22.0,22.64,22.0,22.64,22.0,22.64,22.0,22.64,22.0,22.64
for,22.64,22.88,22.64,22.88,22.64,22.88,22.64,22.88,22.64,22.88,22.64,22.88,22.64,22.88,22.64,22.88,22.64,22.88,22.64,22.88
miles,22.88,23.6,22.88,23.52,22.88,23.52,22.88,23.52,22.88,23.6,22.88,23.6,22.88,23.6,22.88,23.6,22.88,23.6,22.88,23.6
around.,23.6,23.92,23.52,23.84,23.52,23.84,23.52,23.84,23.6,23.92,23.6,23.92,23.6,23.92,23.6,23.92,23.6,23.92,23.6,23.92
In,24.24,24.48,24.16,24.48,24.16,24.48,24.16,24.48,24.24,24.48,24.24,24.48,24.24,24.48,24.24,24.48,24.24,24.48,24.24,24.48
cold,24.48,24.8,24.48,24.8,24.48,24.8,24.48,24.8,24.48,24.8,24.48,24.8,24.48,24.8,24.48,24.8,24.48,24.8,24.48,24.8
weather,24.8,25.2,24.8,25.2,24.8,25.2,24.8,25.2,24.8,25.2,24.8,25.2,24.8,25.2,24.8,25.12,24.8,25.12,24.8,25.12
he,25.2,25.36,25.2,25.28,25.2,25.28,25.2,25.36,25.2,25.36,25.2,25.36,25.2,25.36,25.2,25.36,25.2,25.36,25.2,25.36
was,25.36,25.52,25.28,25.44,25.28,25.44,25.36,25.44,25.36,25.52,25.36,25.52,25.36,25.52,25.36,25.52,25.36,25.52,25.36,25.52
distinguished,25.52,26.08,25.44,26.08,25.44,26.08,25.44,26.08,25.52,26.08,25.52,26.08,25.52,26.08,25.52,26.08,25.52,26.08,25.52,26.08
by,26.08,26.24,26.08,26.24,26.08,26.24,26.08,26.24,26.08,26.24,26.08,26.24,26.08,26.24,26.08,26.24,26.08,26.24,26.08,26.24
a,26.24,26.4,26.24,26.32,26.24,26.32,26.24,26.32,26.24,26.4,26.24,26.4,26.24,26.4,26.24,26.4,26.24,26.4,26.24,26.4
fur,26.4,26.8,26.32,26.8,26.32,26.8,26.32,26.8,26.4,26.8,26.4,26.8,26.4,26.8,26.4,26.8,26.4,26.8,26.4,26.8
"cap,",26.8,27.2,26.8,27.12,26.8,27.12,26.8,27.12,26.8,27.2,26.8,27.2,26.8,27.2,26.8,27.2,26.8,27.2,26.8,27.2
surmounted,27.36,28.0,27.36,28.0,27.36,28.0,27.36,28.0,27.36,28.0,27.36,28.0,27.36,28.0,27.36,28.0,27.36,28.0,27.36,28.0
with,28.0,28.16,28.0,28.08,28.0,28.16,28.0,28.16,28.0,28.16,28.0,28.16,28.0,28.16,28.0,28.16,28.0,28.16,28.0,28.16
a,28.16,28.24,28.08,28.24,28.16,28.24,28.16,28.24,28.16,28.24,28.16,28.24,28.16,28.24,28.16,28.24,28.16,28.32,28.16,28.32
flaunting,28.24,28.88,28.24,28.88,28.24,28.88,28.24,28.88,28.24,28.88,28.24,28.88,28.24,28.88,28.24,28.88,28.32,28.88,28.32,28.88
fox's,28.88,29.52,28.88,29.44,28.88,29.52,28.88,29.52,28.88,29.52,28.88,29.52,28.88,29.52,28.88,29.52,28.88,29.52,28.88,29.52
"tail,",29.52,29.84,29.44,29.84,29.52,29.84,29.52,29.84,29.52,29.84,29.52,29.84,29.52,29.84,29.52,29.84,29.52,29.84,29.52,29.84
and,30.16,30.32,30.16,30.32,30.16,30.32,30.16,30.32,30.16,30.32,30.16,30.32,30.16,30.32,30.16,30.32,30.16,30.32,30.16,30.32
when,30.32,30.48,30.32,30.48,30.32,30.48,30.32,30.48,30.32,30.48,30.32,30.48,30.32,30.48,30.32,30.48,30.32,30.48,30.32,30.48
the,30.48,30.64,30.48,30.56,30.48,30.56,30.48,30.56,30.48,30.56,30.48,30.64,30.48,30.64,30.48,30.64,30.48,30.64,30.48,30.64
folks,30.64,30.96,30.56,30.96,30.56,30.96,30.56,30.96,30.56,30.96,30.64,30.96,30.64,30.96,30.64,30.96,30.64,30.96,30.64,30.96
at,30.96,31.12,30.96,31.12,30.96,31.12,30.96,31.12,30.96,31.12,30.96,31.12,30.96,31.12,30.96,31.12,30.96,31.12,30.96,31.12
a,31.12,31.28,31.12,31.28,31.12,31.28,31.12,31.28,31.12,31.28,31.12,31.28,31.12,31.28,31.12,31.28,31.12,31.28,31.12,31.28
country,31.28,31.6,31.28,31.6,31.28,31.6,31.28,31.6,31.28,31.6,31.28,31.6,31.28,31.6,31.28,31.6,31.28,31.6,31.28,31.6
gathering,31.6,32.16,31.6,32.08,31.6,32.16,31.6,32.08,31.6,32.16,31.6,32.16,31.6,32.16,31.6,32.16,31.6,32.16,31.6,32.16
described,32.16,32.72,32.08,32.72,32.16,32.72,32.08,32.72,32.16,32.72,32.16,32.72,32.16,32.72,32.16,32.72,32.16,32.72,32.16,32.72
this,32.72,32.96,32.72,32.96,32.72,32.96,32.72,32.96,32.72,32.96,32.72,32.96,32.72,32.96,32.72,32.96,32.72,32.96,32.72,32.96
crest,33.52,34.0,33.52,34.0,33.52,34.0,33.52,34.0,33.52,34.0,33.52,34.0,33.52,34.0,33.52,34.0,33.52,34.0,33.52,34.0
at,34.0,34.16,34.0,34.16,34.0,34.16,34.0,34.16,34.0,34.16,34.0,34.16,34.0,34.16,34.0,34.16,34.0,34.16,34.0,34.16
a,34.16,34.32,34.16,34.24,34.16,34.24,34.16,34.24,34.16,34.32,34.16,34.32,34.16,34.32,34.16,34.32,34.16,34.32,34.16,34.32
"distance,",34.32,34.72,34.24,34.72,34.24,34.72,34.24,34.72,34.32,34.72,34.32,34.72,34.32,34.72,34.32,34.72,34.32,34.72,34.32,34.72
whisking,34.96,35.6,34.96,35.6,34.96,35.6,34.96,35.6,34.96,35.6,34.96,35.6,34.96,35.6,34.96,35.6,34.96,35.6,34.96,35.6
about,35.6,35.84,35.6,35.84,35.6,35.84,35.6,35.84,35.6,35.84,35.6,35.84,35.6,35.84,35.6,35.84,35.6,35.84,35.6,35.84
among,35.84,36.08,35.84,36.08,35.84,36.08,35.84,36.08,35.84,36.08,35.84,36.08,35.84,36.08,35.84,36.08,35.84,36.08,35.84,36.08
a,36.08,36.24,36.08,36.16,36.08,36.24,36.08,36.24,36.08,36.24,36.08,36.24,36.08,36.24,36.08,36.24,36.08,36.24,36.08,36.24
squad,36.24,36.64,36.16,36.56,36.24,36.64,36.24,36.64,36.24,36.64,36.24,36.64,36.24,36.64,36.24,36.64,36.24,36.64,36.24,36.64
of,36.64,36.8,36.56,36.8,36.64,36.8,36.64,36.8,36.64,36.8,36.64,36.8,36.64,36.8,36.64,36.8,36.64,36.8,36.64,36.8
hard,36.8,37.2,36.8,37.12,36.8,37.12,36.8,37.2,36.8,37.2,36.8,37.2,36.8,37.2,36.8,37.2,36.8,37.2,36.8,37.2
"riders,",37.2,37.68,37.12,37.68,37.12,37.68,37.2,37.68,37.2,37.68,37.2,37.68,37.2,37.68,37.2,37.68,37.2,37.68,37.2,37.68
they,38.0,38.24,37.92,38.16,38.0,38.24,38.0,38.24,38.0,38.24,38.0,38.24,38.0,38.24,38.0,38.24,38.0,38.24,38.0,38.24
always,38.24,38.48,38.16,38.48,38.24,38.48,38.24,38.48,38.24,38.48,38.24,38.48,38.24,38.48,38.24,38.48,38.24,38.48,38.24,38.48
stood,38.48,38.88,38.48,38.8,38.48,38.88,38.48,38.88,38.48,38.88,38.48,38.88,38.48,38.88,38.48,38.88,38.48,38.88,38.48,38.88
by,38.88,39.04,38.8,39.04,38.88,39.04,38.88,39.04,38.88,39.04,38.88,39.04,38.88,39.04,38.88,39.12,38.88,39.12,38.88,39.12
for,39.04,39.28,39.04,39.2,39.04,39.2,39.04,39.2,39.04,39.2,39.04,39.28,39.04,39.28,39.12,39.28,39.12,39.28,39.12,39.28
a,39.28,39.36,39.2,39.36,39.2,39.36,39.2,39.36,39.2,39.36,39.28,39.36,39.28,39.36,39.28,39.36,39.28,39.44,39.28,39.44
squall.,39.36,40.0,39.36,40.0,39.36,40.0,39.36,40.0,39.36,40.0,39.36,40.0,39.36,40.0,39.36,40.0,39.44,40.08,39.44,40.08
Sometimes,40.32,40.88,40.32,40.88,40.32,40.88,40.32,40.88,40.32,40.88,40.32,40.88,40.32,40.88,40.32,40.88,40.32,40.88,40.32,40.88
his,40.88,41.04,40.88,41.04,40.88,41.04,40.88,41.04,40.88,41.04,40.88,41.04,40.88,41.04,40.88,41.04,40.88,41.04,40.88,41.12
crew,41.04,41.44,41.04,41.44,41.04,41.44,41.04,41.44,41.04,41.44,41.04,41.44,41.04,41.44,41.04,41.44,41.04,41.44,41.12,41.44
would,41.44,41.6,41.44,41.6,41.44,41.6,41.44,41.6,41.44,41.6,41.44,41.6,41.44,41.6,41.44,41.6,41.44,41.6,41.44,41.6
be,41.6,41.76,41.6,41.76,41.6,41.76,41.6,41.76,41.6,41.76,41.6,41.76,41.6,41.76,41.6,41.76,41.6,41.76,41.6,41.76
heard,41.76,42.0,41.76,42.0,41.76,42.0,41.76,42.0,41.76,42.0,41.76,42.0,41.76,42.0,41.76,42.0,41.76,42.0,41.76,42.08
dashing,42.0,42.56,42.0,42.64,42.0,42.56,42.0,42.56,42.0,42.56,42.0,42.56,42.0,42.56,42.0,42.64,42.0,42.64,42.08,42.64
along,42.56,42.96,42.64,42.96,42.56,42.96,42.56,42.96,42.56,42.96,42.56,42.96,42.56,42.96,42.64,42.96,42.64,42.96,42.64,42.96
past,42.96,43.2,42.96,43.2,42.96,43.2,42.96,43.2,42.96,43.2,42.96,43.2,42.96,43.28,42.96,43.28,42.96,43.28,42.96,43.28
the,43.2,43.36,43.2,43.36,43.2,43.36,43.2,43.36,43.2,43.36,43.2,43.36,43.28,43.36,43.28,43.44,43.28,43.44,43.28,43.44
farmhouses,43.36,44.16,43.36,44.16,43.36,44.16,43.36,44.16,43.36,44.16,43.36,44.16,43.36,44.16,43.44,44.16,43.44,44.16,43.44,44.16
at,44.16,44.32,44.16,44.24,44.16,44.24,44.16,44.24,44.16,44.32,44.16,44.32,44.16,44.32,44.16,44.32,44.16,44.32,44.16,44.32
midnight,44.32,44.8,44.24,44.72,44.24,44.72,44.24,44.72,44.32,44.8,44.32,44.8,44.32,44.8,44.32,44.8,44.32,44.8,44.32,44.8
with,44.8,44.88,44.72,44.88,44.72,44.88,44.72,44.88,44.8,44.88,44.8,44.88,44.8,44.88,44.8,44.88,44.8,44.88,44.8,44.88
a,44.88,45.04,44.88,45.04,44.88,45.04,44.88,45.04,44.88,45.04,44.88,45.04,44.88,45.04,44.88,45.04,44.88,45.04,44.88,45.04
whoop,45.04,45.44,45.04,45.44,45.04,45.44,45.04,45.44,45.04,45.44,45.04,45.44,45.04,45.44,45.04,45.44,45.04,45.44,45.04,45.44
and,45.44,45.6,45.44,45.52,45.44,45.52,45.44,45.6,45.44,45.6,45.44,45.6,45.44,45.6,45.44,45.6,45.44,45.6,45.44,45.6
a,45.6,45.68,45.52,45.68,45.52,45.68,45.6,45.68,45.6,45.68,45.6,45.68,45.6,45.68,45.6,45.68,45.6,45.68,45.6,45.68
"hullo,",45.68,46.16,45.68,46.16,45.68,46.16,45.68,46.16,45.68,46.16,45.68,46.16,45.68,46.16,45.68,46.16,45.68,46.16,45.68,46.16
like,46.4,46.56,46.4,46.56,46.4,46.56,46.4,46.56,46.4,46.56,46.4,46.56,46.4,46.56,46.4,46.56,46.4,46.56,46.4,46.56
a,46.56,46.72,46.56,46.64,46.56,46.72,46.56,46.72,46.56,46.72,46.56,46.72,46.56,46.72,46.56,46.72,46.56,46.72,46.56,46.72
troop,46.72,46.96,46.64,46.96,46.72,46.96,46.72,46.96,46.72,46.96,46.72,46.96,46.72,46.96,46.72,46.96,46.72,46.96,46.72,46.96
of,46.96,47.12,46.96,47.12,46.96,47.12,46.96,47.12,46.96,47.12,46.96,47.12,46.96,47.12,46.96,47.12,46.96,47.12,46.96,47.12
Don,47.12,47.52,47.12,47.44,47.12,47.44,47.12,47.44,47.12,47.44,47.12,47.52,47.12,47.52,47.12,47.44,47.12,47.44,47.12,47.44
"Cossacks,",47.6,48.32,47.6,48.24,47.6,48.24,47.6,48.24,47.6,48.24,47.6,48.32,47.6,48.32,47.6,48.32,47.6,48.32,47.6,48.32
and,48.56,48.72,48.56,48.72,48.56,48.72,48.56,48.72,48.56,48.72,48.56,48.72,48.56,48.72,48.56,48.72,48.56,48.72,48.56,48.72
the,48.72,48.8,48.72,48.8,48.72,48.8,48.72,48.8,48.72,48.8,48.72,48.8,48.72,48.8,48.72,48.88,48.72,48.88,48.72,48.88
old,48.8,49.12,48.8,49.12,48.8,49.12,48.8,49.12,48.8,49.12,48.8,49.12,48.8,49.12,48.88,49.12,48.88,49.12,48.88,49.2
"dames,",49.12,49.6,49.12,49.6,49.12,49.6,49.12,49.6,49.12,49.6,49.12,49.6,49.12,49.6,49.12,49.6,49.12,49.6,49.2,49.6
startled,49.76,50.24,49.76,50.24,49.76,50.24,49.76,50.24,49.76,50.24,49.76,50.24,49.76,50.24,49.76,50.24,49.76,50.24,49.76,50.24
out,50.24,50.4,50.24,50.32,50.24,50.4,50.24,50.4,50.24,50.4,50.24,50.4,50.24,50.4,50.24,50.4,50.24,50.4,50.24,50.4
of,50.4,50.48,50.32,50.48,50.4,50.48,50.4,50.48,50.4,50.48,50.4,50.48,50.4,50.48,50.4,50.48,50.4,50.48,50.4,50.48
their,50.48,50.64,50.48,50.64,50.48,50.64,50.48,50.64,50.48,50.64,50.48,50.64,50.48,50.64,50.48,50.64,50.48,50.64,50.48,50.72
"sleep,",50.64,51.04,50.64,51.04,50.64,51.04,50.64,51.04,50.64,51.04,50.64,51.04,50.64,51.04,50.64,51.04,50.64,51.04,50.72,51.12
would,51.28,51.52,51.28,51.52,51.28,51.52,51.28,51.52,51.28,51.52,51.28,51.52,51.28,51.52,51.28,51.52,51.28,51.52,51.36,51.52
listen,51.52,52.0,51.52,51.92,51.52,51.92,51.52,52.0,51.52,52.0,51.52,52.0,51.52,52.0,51.52,52.0,51.52,52.0,51.52,52.0
for,52.0,52.16,51.92,52.08,51.92,52.08,52.0,52.16,52.0,52.16,52.0,52.16,52.0,52.16,52.0,52.16,52.0,52.16,52.0,52.16
a,52.16,52.24,52.08,52.24,52.08,52.24,52.16,52.24,52.16,52.24,52.16,52.24,52.16,52.24,52.16,52.24,52.16,52.24,52.16,52.24
moment,52.24,52.64,52.24,52.56,52.24,52.56,52.24,52.56,52.24,52.64,52.24,52.64,52.24,52.64,52.24,52.64,52.24,52.64,52.24,52.64
till,52.64,52.8,52.56,52.8,52.56,52.8,52.56,52.8,52.64,52.8,52.64,52.8,52.64,52.8,52.64,52.8,52.64,52.8,52.64,52.88
the,52.8,52.88,52.8,52.88,52.8,52.88,52.8,52.88,52.8,52.88,52.8,52.88,52.8,52.88,52.8,52.88,52.8,52.88,52.88,52.96
hurry,52.88,53.28,52.88,53.28,52.88,53.28,52.88,53.28,52.88,53.28,52.88,53.28,52.88,53.2,52.88,53.36,52.88,53.36,52.96,53.36
scurry,53.28,53.76,53.28,53.76,53.28,53.76,53.28,53.76,53.28,53.76,53.28,53.76,53.36,53.76,53.36,53.76,53.36,53.76,53.36,53.76
had,53.76,53.84,53.76,53.84,53.76,53.84,53.76,53.84,53.76,53.84,53.76,53.84,53.76,53.84,53.76,53.92,53.76,53.92,53.76,53.92
clattered,53.84,54.32,53.84,54.32,53.84,54.32,53.84,54.32,53.84,54.32,53.84,54.32,53.84,54.32,53.92,54.32,53.92,54.32,53.92,54.32
by,54.32,54.48,54.32,54.48,54.32,54.48,54.32,54.48,54.32,54.48,54.32,54.48,54.32,54.48,54.32,54.48,54.32,54.48,54.32,54.56
and,54.56,54.72,54.56,54.72,54.56,54.72,54.56,54.72,54.56,54.72,54.56,54.72,54.56,54.72,54.56,54.72,54.56,54.72,54.64,54.72
then,54.72,54.88,54.72,54.88,54.72,54.88,54.72,54.88,54.72,54.88,54.72,54.88,54.72,54.88,54.72,54.88,54.72,54.96,54.72,54.96
"Hey,",55.92,56.24,55.84,56.16,55.84,56.24,55.92,56.24,55.92,56.24,55.92,56.24,55.92,56.24,55.92,56.24,55.92,56.24,55.92,56.24
there,56.4,56.64,56.32,56.56,56.4,56.56,56.4,56.56,56.4,56.56,56.4,56.64,56.4,56.64,56.4,56.64,56.4,56.64,56.4,56.64
